dataset,date,latitude,longitude,deaths_min,deaths_max,children,names,description,source
dronestream,2008-10-31T00:00:00.000Z,32.9758360577,70.2690696716,4,25,0,,"Between 4 and 25 killed, possibly including civilians, in failed attack on al Qaeda targets. Mir Ali, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-10-31T00:00:00.000Z,32.3176025861,69.500541687,4,12,0,,Up to 12 killed and Taliban leader Maulvi Nazir among 30 wounded.,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-11-07T00:00:00.000Z,32.743969952,70.0673675537,11,16,0,,"Up to 16 killed, including â€˜Westerners and US citizensâ€™. Kumsham, Miramshah, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-11-14T00:00:00.000Z,32.7028111007,69.8687553406,11,13,0,,"11-13 killed including at least three civilians. Garyom, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-11-19T00:00:00.000Z,32.8028590161,70.486907959,4,6,0,,Al Qaeda operative Abdullah Azzam al Saudi killed with up to five others in attack outside FATA which causes uproar.,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-11-22T00:00:00.000Z,32.9801561549,70.0653076172,4,6,0,,"Two named militants and up to four others killed in Ali Khel, Miranshah, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-11-27T00:00:00.000Z,32.3051256533,69.5762443542,5,5,0,,Drone strike destroys vehicle killing five alleged Pakistan Taliban.,http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-11-29T00:00:00.000Z,32.9864919151,70.046081543,2,3,0,,"Two or three killed, possibly all civilians. Chashma, Miranshah, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-12-05T00:00:00.000Z,32.59125977,70.15396057,3,4,0,,"3-4 alleged Taliban killed in Kateera, Mir Ali, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-12-11T00:00:00.000Z,32.3022237948,69.4054412842,6,7,0,,"Six or seven killed, either some â€˜foreignersâ€™ or all civilians, Azam Warzak, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-12-15T00:00:00.000Z,32.9795801542,70.0859069824,2,3,0,,"At least two killed in Tapi Tool, Miran Shah, North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-12-22T00:00:00.000Z,32.3176025861,69.500541687,3,3,0,,"Three killed in attack on a truck in Kari Kot, Wana, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2008-12-22T00:00:00.000Z,32.2933725524,69.4972801208,2,4,0,,"At least two killed in attack on truck in Shin Warzak, Wana, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/
dronestream,2009-01-01T00:00:00.000Z,32.3176025861,69.500541687,3,5,0,,"Two named al Qaeda militants and up to thee other people killed in strike on vehicle, Kari Kot, Wana, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-01-02T00:00:00.000Z,32.539867193,69.8819732666,3,4,0,,"Three to four killed in last strike of Bush presidency.  Madin, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-01-23T00:00:00.000Z,32.9534041566,70.2622461319,7,15,0,,"7 civilians and 4 or more militants reported killed in strike on house in Zharki, Mir Ali,North Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
dronestream,2009-01-23T00:00:00.000Z,32.1723754,69.33147601,5,10,0,,"7-11 people killed, including several members of a family killed including at least three children in strike on wrong house in Dilfar, Wana, South Waziristan.",http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/
